timestamp,listings_total,listings_real,landlords_real,listings_gta
2026-09-03 04:18:45,9,2,2,1
2026-09-03 04:28:46,9,2,2,1
2026-09-03 04:38:46,9,2,2,1
2026-09-03 04:48:47,9,2,2,1
2026-09-03 04:58:48,9,2,2,1
2026-09-03 05:08:48,9,2,2,1
2026-09-03 05:18:49,9,2,2,1
2026-09-03 05:28:49,9,2,2,1
2026-09-03 05:38:50,9,2,2,1
2026-09-03 05:48:50,9,2,2,1
2026-09-03 05:58:51,9,2,2,1
2026-09-03 06:08:51,9,2,2,1
2026-09-03 06:18:52,9,2,2,1
2026-09-03 06:28:52,9,2,2,1
2026-09-03 06:38:53,9,2,2,1
2026-09-03 06:48:54,9,2,2,1
2026-09-03 06:58:54,9,2,2,1
2026-09-03 07:08:55,9,2,2,1
2026-09-03 07:18:55,9,2,2,1
2026-09-03 07:28:56,9,2,2,1
2026-09-03 07:38:57,9,2,2,1
2026-09-03 07:48:57,9,2,2,1
2026-09-03 07:58:58,9,2,2,1
2026-09-03 08:08:58,9,2,2,1
2026-09-03 08:18:57,9,2,2,1
2026-09-03 08:28:57,9,2,2,1
2026-09-03 08:38:58,9,2,2,1
2026-09-03 08:48:59,9,2,2,1
2026-09-03 08:58:59,9,2,2,1
2026-09-03 09:09:00,9,2,2,1
2026-09-03 09:19:00,9,2,2,1
2026-09-03 09:29:01,9,2,2,1
2026-09-03 09:39:01,9,2,2,1
2026-09-03 09:49:02,9,2,2,1
2026-09-03 09:59:02,9,2,2,1
2026-09-03 10:09:03,9,2,2,1
2026-09-03 10:19:04,9,2,2,1
2026-09-03 10:29:04,9,2,2,1
2026-09-03 10:39:05,9,2,2,1
2026-09-03 10:49:06,9,2,2,1
2026-09-03 10:59:06,9,2,2,1
2026-09-03 11:09:07,9,2,2,1
2026-09-03 11:19:07,9,2,2,1
2026-09-03 11:29:08,9,2,2,1
2026-09-03 11:39:08,9,2,2,1
2026-09-03 11:49:09,9,2,2,1
2026-09-03 11:59:10,9,2,2,1
2026-09-03 12:09:10,9,2,2,1
2026-09-03 12:19:11,9,2,2,1
2026-09-03 12:29:11,9,2,2,1
2026-09-03 12:39:12,9,2,2,1
2026-09-03 12:49:12,9,2,2,1
2026-09-03 12:59:13,9,2,2,1
2026-09-03 13:09:13,9,2,2,1
2026-09-03 13:19:14,9,2,2,1
2026-09-03 13:29:15,9,2,2,1
2026-09-03 13:39:15,9,2,2,1
2026-09-03 13:49:16,9,2,2,1
2026-09-03 13:59:16,9,2,2,1
2026-09-03 14:09:17,9,2,2,1
2026-09-03 14:19:17,9,2,2,1
2026-09-03 14:29:18,9,2,2,1
2026-09-03 14:39:19,9,2,2,1
2026-09-03 14:49:19,9,2,2,1
2026-09-03 14:59:20,9,2,2,1
2026-09-03 15:09:20,9,2,2,1
2026-09-03 15:19:21,9,2,2,1
2026-09-03 15:29:22,9,2,2,1
2026-09-03 15:39:22,9,2,2,1
2026-09-03 15:49:23,9,2,2,1
2026-09-03 15:59:23,9,2,2,1
2026-09-03 16:09:24,9,2,2,1
2026-09-03 16:19:24,9,2,2,1
2026-09-03 16:29:25,9,2,2,1
2026-09-03 16:39:26,9,2,2,1
2026-09-03 16:49:27,9,2,2,1
2026-09-03 16:59:27,9,2,2,1
2026-09-03 17:09:28,9,2,2,1
2026-09-03 17:19:29,9,2,2,1
2026-09-03 17:29:29,9,2,2,1
2026-09-03 17:39:30,9,2,2,1
2026-09-03 17:49:31,9,2,2,1
2026-09-03 17:59:32,9,2,2,1
2026-09-03 18:09:32,9,2,2,1
2026-09-03 18:19:33,9,2,2,1
2026-09-03 18:29:33,9,2,2,1
2026-09-03 18:39:34,9,2,2,1
2026-09-03 18:49:35,9,2,2,1
2026-09-03 18:59:35,9,2,2,1
2026-09-03 19:09:36,9,2,2,1
2026-09-03 19:19:36,9,2,2,1
2026-09-03 19:29:37,9,2,2,1
2026-09-03 19:39:37,9,2,2,1
2026-09-03 19:49:38,9,2,2,1
2026-09-03 19:59:39,9,2,2,1
2026-09-03 20:09:39,9,2,2,1
2026-09-03 20:19:40,9,2,2,1
2026-09-03 20:29:40,9,2,2,1
2026-09-03 20:39:41,9,2,2,1
2026-09-03 20:49:42,9,2,2,1
2026-09-03 20:59:42,9,2,2,1
2026-09-03 21:09:43,9,2,2,1
2026-09-03 21:19:43,9,2,2,1
2026-09-03 21:29:44,9,2,2,1
2026-09-03 21:39:45,9,2,2,1
2026-09-03 21:49:45,9,2,2,1
2026-09-03 21:59:46,9,2,2,1
2026-09-03 22:09:46,9,2,2,1
2026-09-03 22:19:47,9,2,2,1
2026-09-03 22:29:47,9,2,2,1
2026-09-03 22:39:48,9,2,2,1
2026-09-03 22:49:48,9,2,2,1
2026-09-03 22:59:49,9,2,2,1
2026-09-03 23:09:50,9,2,2,1
2026-09-03 23:19:50,9,2,2,1
2026-09-03 23:29:51,9,2,2,1
2026-09-03 23:39:51,9,2,2,1
2026-09-03 23:49:52,9,2,2,1
2026-09-03 23:59:52,9,2,2,1
2026-09-04 00:09:53,9,2,2,1
2026-09-04 00:19:57,9,2,2,1
2026-09-04 00:29:59,9,2,2,1
2026-09-04 00:40:00,9,2,2,1
2026-09-04 00:50:01,9,2,2,1
2026-09-04 01:00:01,9,2,2,1
2026-09-04 01:10:02,9,2,2,1
2026-09-04 01:20:03,9,2,2,1
2026-09-04 01:30:03,9,2,2,1
2026-09-04 01:40:04,9,2,2,1
2026-09-04 01:50:04,9,2,2,1
2026-09-04 02:00:05,9,2,2,1
2026-09-04 02:10:06,9,2,2,1
2026-09-04 02:20:06,9,2,2,1
2026-09-04 02:30:07,9,2,2,1
2026-09-04 02:40:07,9,2,2,1
2026-09-04 02:50:08,9,2,2,1
2026-09-04 03:00:09,9,2,2,1
2026-09-04 03:10:09,9,2,2,1
2026-09-04 03:20:10,9,2,2,1
2026-09-04 03:30:10,9,2,2,1
2026-09-04 03:40:11,9,2,2,1
2026-09-04 03:50:11,9,2,2,1
2026-09-04 04:00:12,9,2,2,1
2026-09-04 04:10:12,9,2,2,1
2026-09-04 04:20:13,9,2,2,1
2026-09-04 04:30:14,9,2,2,1
2026-09-04 04:40:14,9,2,2,1
2026-09-04 04:50:15,9,2,2,1
2026-09-04 05:00:15,9,2,2,1
2026-09-04 05:10:16,9,2,2,1
2026-09-04 05:20:16,9,2,2,1
2026-09-04 05:30:17,9,2,2,1
2026-09-04 05:40:18,9,2,2,1
2026-09-04 05:50:18,9,2,2,1
2026-09-04 06:00:19,9,2,2,1
2026-09-04 06:10:19,9,2,2,1
2026-09-04 06:20:20,9,2,2,1
2026-09-04 06:30:21,9,2,2,1
2026-09-04 06:40:21,9,2,2,1
2026-09-04 06:50:22,9,2,2,1
2026-09-04 07:00:23,9,2,2,1
2026-09-04 07:10:23,9,2,2,1
2026-09-04 07:20:24,9,2,2,1
2026-09-04 07:30:25,9,2,2,1
2026-09-04 07:40:25,9,2,2,1
2026-09-04 07:50:26,9,2,2,1
2026-09-04 08:00:27,9,2,2,1
2026-09-04 08:10:27,9,2,2,1
2026-09-04 08:20:28,9,2,2,1
2026-09-04 08:30:31,9,2,2,1
2026-09-04 08:40:32,9,2,2,1
2026-09-04 08:50:32,9,2,2,1
2026-09-04 09:00:33,9,2,2,1
2026-09-04 09:10:34,9,2,2,1
2026-09-04 09:20:34,9,2,2,1
2026-09-04 09:30:35,9,2,2,1
2026-09-04 09:40:35,9,2,2,1
2026-09-04 09:50:36,9,2,2,1
2026-09-04 10:00:43,9,2,2,1
2026-09-04 10:10:44,9,2,2,1
2026-09-04 10:20:44,9,2,2,1
2026-09-04 10:30:45,9,2,2,1
2026-09-04 10:40:45,9,2,2,1
2026-09-04 10:50:46,9,2,2,1
2026-09-04 11:00:47,9,2,2,1
2026-09-04 11:10:49,9,2,2,1
2026-09-04 11:20:49,9,2,2,1
2026-09-04 11:30:50,9,2,2,1
2026-09-04 11:40:50,9,2,2,1
2026-09-04 11:50:51,9,2,2,1
2026-09-04 12:00:52,9,2,2,1
2026-09-04 12:10:52,9,2,2,1
2026-09-04 12:20:54,9,2,2,1
2026-09-04 12:30:54,9,2,2,1
2026-09-04 12:40:55,9,2,2,1
2026-09-04 12:50:56,9,2,2,1
2026-09-04 13:00:57,9,2,2,1
2026-09-04 13:10:57,9,2,2,1
2026-09-04 13:20:58,9,2,2,1
2026-09-04 13:30:59,9,2,2,1
2026-09-04 13:41:00,9,2,2,1
2026-09-04 13:51:04,9,2,2,1
2026-09-04 14:01:05,9,2,2,1
2026-09-04 14:11:05,9,2,2,1
2026-09-04 14:21:06,9,2,2,1
2026-09-04 14:31:06,9,2,2,1
2026-09-04 14:41:07,9,2,2,1
2026-09-04 14:51:08,9,2,2,1
2026-09-04 15:01:08,9,2,2,1
2026-09-04 15:11:09,9,2,2,1
2026-09-04 15:21:10,9,2,2,1
2026-09-04 15:31:11,9,2,2,1
2026-09-04 15:41:11,9,2,2,1
2026-09-04 15:51:12,9,2,2,1
2026-09-04 16:01:15,9,2,2,1
2026-09-04 16:11:16,9,2,2,1
2026-09-04 16:21:16,9,2,2,1
2026-09-04 16:41:18,9,2,2,1
2026-09-04 17:51:19,9,2,2,1
2026-09-04 18:01:20,9,2,2,1
2026-09-04 18:11:21,9,2,2,1
2026-09-04 18:21:22,9,2,2,1
2026-09-04 18:31:22,9,2,2,1
2026-09-04 18:41:23,9,2,2,1
2026-09-04 18:51:23,9,2,2,1
2026-09-04 19:01:24,9,2,2,1
2026-09-04 19:11:25,9,2,2,1
2026-09-04 19:21:25,9,2,2,1
2026-09-04 19:31:26,9,2,2,1
2026-09-04 19:41:26,9,2,2,1
2026-09-04 19:51:27,9,2,2,1
2026-09-04 20:01:28,9,2,2,1
2026-09-04 20:11:28,9,2,2,1
2026-09-04 20:21:29,9,2,2,1
2026-09-04 20:31:29,9,2,2,1
2026-09-04 20:41:30,9,2,2,1
2026-09-04 20:51:31,9,2,2,1
2026-09-04 21:01:31,9,2,2,1
2026-09-04 21:11:32,9,2,2,1
2026-09-04 21:21:32,9,2,2,1
2026-09-04 21:31:33,9,2,2,1
2026-09-04 21:41:34,9,2,2,1
2026-09-04 21:51:34,9,2,2,1
2026-09-04 22:01:35,9,2,2,1
2026-09-04 22:11:35,9,2,2,1
2026-09-04 22:21:36,9,2,2,1
2026-09-04 22:31:37,9,2,2,1
2026-09-04 22:41:37,9,2,2,1
2026-09-04 22:51:38,9,2,2,1
2026-09-04 23:01:39,9,2,2,1
2026-09-04 23:11:39,9,2,2,1
2026-09-04 23:21:40,9,2,2,1
2026-09-04 23:31:40,9,2,2,1
2026-09-04 23:41:41,9,2,2,1
2026-09-04 23:51:42,9,2,2,1
2026-09-05 00:01:42,9,2,2,1
2026-09-05 00:11:43,9,2,2,1
2026-09-05 00:21:43,9,2,2,1
2026-09-05 00:31:44,9,2,2,1
2026-09-05 00:41:44,9,2,2,1
2026-09-05 00:51:45,9,2,2,1
2026-09-05 01:01:46,9,2,2,1
2026-09-05 01:11:46,9,2,2,1
2026-09-05 01:21:47,9,2,2,1
2026-09-05 01:31:48,9,2,2,1
2026-09-05 01:41:48,9,2,2,1
2026-09-05 01:51:49,9,2,2,1
2026-09-05 02:01:49,9,2,2,1
2026-09-05 02:11:50,9,2,2,1
2026-09-05 02:21:51,9,2,2,1
2026-09-05 02:31:51,9,2,2,1
2026-09-05 02:41:52,9,2,2,1
2026-09-05 02:51:52,9,2,2,1
2026-09-05 03:01:53,9,2,2,1
2026-09-05 03:11:54,9,2,2,1
2026-09-05 03:21:55,9,2,2,1
2026-09-05 03:31:55,9,2,2,1
2026-09-05 03:41:56,9,2,2,1
2026-09-05 03:51:56,9,2,2,1
2026-09-05 04:01:57,9,2,2,1
2026-09-05 04:11:57,9,2,2,1
2026-09-05 04:21:58,9,2,2,1
2026-09-05 04:31:59,9,2,2,1
2026-09-05 04:41:59,9,2,2,1
2026-09-05 04:52:00,9,2,2,1
2026-09-05 05:02:00,9,2,2,1
2026-09-05 05:12:01,9,2,2,1
2026-09-05 05:22:01,9,2,2,1
2026-09-05 05:32:02,9,2,2,1
2026-09-05 05:42:03,9,2,2,1
2026-09-05 05:52:03,9,2,2,1
2026-09-05 06:02:04,9,2,2,1
2026-09-05 06:12:04,9,2,2,1
2026-09-05 06:22:05,9,2,2,1
2026-09-05 06:32:06,9,2,2,1
2026-09-05 06:42:06,9,2,2,1
2026-09-05 06:52:07,9,2,2,1
2026-09-05 07:02:07,9,2,2,1
2026-09-05 07:12:08,9,2,2,1
2026-09-05 07:22:09,9,2,2,1
2026-09-05 07:32:09,9,2,2,1
2026-09-05 07:42:10,9,2,2,1
2026-09-05 07:52:10,9,2,2,1
2026-09-05 08:02:11,9,2,2,1
2026-09-05 08:12:12,9,2,2,1
2026-09-05 08:22:10,9,2,2,1
2026-09-05 08:32:11,9,2,2,1
2026-09-05 08:42:11,9,2,2,1
2026-09-05 08:52:12,9,2,2,1
2026-09-05 09:02:13,9,2,2,1
2026-09-05 09:12:13,9,2,2,1
2026-09-05 09:22:14,9,2,2,1
2026-09-05 09:32:14,9,2,2,1
2026-09-05 09:42:15,9,2,2,1
2026-09-05 09:52:15,9,2,2,1
2026-09-05 10:02:16,9,2,2,1
2026-09-05 10:12:17,9,2,2,1
2026-09-05 10:22:17,9,2,2,1
2026-09-05 10:32:18,9,2,2,1
2026-09-05 10:42:19,9,2,2,1
2026-09-05 10:52:19,9,2,2,1
2026-09-05 11:02:20,9,2,2,1
2026-09-05 11:12:20,9,2,2,1
2026-09-05 11:22:21,9,2,2,1
2026-09-05 11:32:22,9,2,2,1
2026-09-05 11:42:22,9,2,2,1
2026-09-05 11:52:23,9,2,2,1
2026-09-05 12:02:23,9,2,2,1
2026-09-05 12:12:24,9,2,2,1
2026-09-05 12:22:24,9,2,2,1
2026-09-05 12:32:25,9,2,2,1
2026-09-05 12:42:26,9,2,2,1
2026-09-05 12:52:26,9,2,2,1
2026-09-05 13:02:27,9,2,2,1
2026-09-05 13:12:28,9,2,2,1
2026-09-05 13:22:28,9,2,2,1
2026-09-05 13:32:29,9,2,2,1
2026-09-05 13:42:30,9,2,2,1
2026-09-05 13:52:30,9,2,2,1
2026-09-05 14:02:31,9,2,2,1
2026-09-05 14:12:32,9,2,2,1
2026-09-05 14:22:32,9,2,2,1
2026-09-05 14:32:33,9,2,2,1
2026-09-05 14:42:33,9,2,2,1
2026-09-05 14:52:34,9,2,2,1
2026-09-05 15:02:35,9,2,2,1
2026-09-05 15:12:35,9,2,2,1
2026-09-05 15:22:36,9,2,2,1
2026-09-05 15:32:36,9,2,2,1
2026-09-05 15:42:37,9,2,2,1
2026-09-05 15:52:37,9,2,2,1
2026-09-05 16:02:38,9,2,2,1
2026-09-05 16:12:39,9,2,2,1
2026-09-05 16:22:40,9,2,2,1
2026-09-05 16:32:40,9,2,2,1
2026-09-05 16:42:41,9,2,2,1
2026-09-05 16:52:41,9,2,2,1
2026-09-05 17:02:42,9,2,2,1
2026-09-05 17:12:43,9,2,2,1
2026-09-05 17:22:43,9,2,2,1
2026-09-05 17:32:44,9,2,2,1
2026-09-05 17:42:44,9,2,2,1
2026-09-05 17:52:45,9,2,2,1
2026-09-05 18:02:46,9,2,2,1
2026-09-05 18:12:46,9,2,2,1
2026-09-05 18:22:47,9,2,2,1
2026-09-05 18:32:48,9,2,2,1
2026-09-05 18:42:48,9,2,2,1
2026-09-05 18:52:49,9,2,2,1
2026-09-05 19:02:50,9,2,2,1
2026-09-05 19:12:51,9,2,2,1
2026-09-05 19:22:51,9,2,2,1
2026-09-05 19:32:52,9,2,2,1
